metric,value,unit
lts__d_sectors_fill_device.avg.pct_of_peak_sustained_elapsed,4.970334,%
lts__d_sectors_fill_device.max.pct_of_peak_sustained_elapsed,5.315783,%
lts__d_sectors_fill_device.min.pct_of_peak_sustained_elapsed,0.491713,%
lts__d_sectors_fill_device.sum.pct_of_peak_sustained_elapsed,4.970334,%
lts__lts2xbar_cycles_active.avg.pct_of_peak_sustained_elapsed,36.043710,%
lts__lts2xbar_cycles_active.max.pct_of_peak_sustained_elapsed,38.592341,%
lts__lts2xbar_cycles_active.min.pct_of_peak_sustained_elapsed,17.875894,%
lts__lts2xbar_cycles_active.sum.pct_of_peak_sustained_elapsed,36.043710,%
lts__t_sector_hit_rate.pct,86.192006,%
lts__t_sectors.avg.pct_of_peak_sustained_elapsed,27.011277,%
lts__t_sectors.max.pct_of_peak_sustained_elapsed,28.994917,%
lts__t_sectors.min.pct_of_peak_sustained_elapsed,12.676764,%
lts__t_sectors.sum.pct_of_peak_sustained_elapsed,27.011277,%
lts__t_tag_requests.avg.pct_of_peak_sustained_elapsed,22.542453,%
lts__t_tag_requests.max.pct_of_peak_sustained_elapsed,24.148051,%
lts__t_tag_requests.min.pct_of_peak_sustained_elapsed,10.343290,%
lts__t_tag_requests.sum.pct_of_peak_sustained_elapsed,22.542453,%
lts__throughput.avg.pct_of_peak_sustained_elapsed,36.131348,%
lts__throughput.max.pct_of_peak_sustained_elapsed,38.911998,%
lts__throughput.min.pct_of_peak_sustained_elapsed,17.792139,%
lts__throughput.sum.pct_of_peak_sustained_elapsed,36.131348,%
lts__xbar2lts_cycles_active.avg.pct_of_peak_sustained_elapsed,20.289665,%
lts__xbar2lts_cycles_active.max.pct_of_peak_sustained_elapsed,21.512018,%
lts__xbar2lts_cycles_active.min.pct_of_peak_sustained_elapsed,10.320782,%
lts__xbar2lts_cycles_active.sum.pct_of_peak_sustained_elapsed,20.289665,%
numa__cpu_affinity,1,
numa__dev_display_name_all,1,
numa__id_cpu,1,
numa__id_memory,1,
nvlink__bandwidth,0,
nvlink__count_logical,0,
nvlink__count_physical,0,
nvlink__destination_ports,0,
nvlink__dev0Id,0,
nvlink__dev0type,0,
nvlink__dev1Id,0,
nvlink__dev1type,0,
nvlink__dev_display_name_all,1,
nvlink__enabled_mask,262143,
nvlink__is_direct_link,0,
nvlink__is_nvswitch_connected,0,
nvlink__max_count,18,
nvlink__peer_access,0,
nvlink__peer_atomic,0,
nvlink__source_ports,0,
nvlink__system_access,0,
nvlink__system_atomic,0,
profiler__perfworks_session_reuse,0,
profiler__replayer_bytes_mem_accessible.avg,413.501810,Mbyte
profiler__replayer_bytes_mem_accessible.max,413.501810,Mbyte
profiler__replayer_bytes_mem_accessible.min,413.501810,Mbyte
profiler__replayer_bytes_mem_accessible.sum,8.270036,Gbyte
profiler__replayer_bytes_mem_backed_up.avg,413.501810,Mbyte
profiler__replayer_bytes_mem_backed_up.max,413.501810,Mbyte
profiler__replayer_bytes_mem_backed_up.min,413.501810,Mbyte
profiler__replayer_bytes_mem_backed_up.sum,8.270036,Gbyte
profiler__replayer_passes,20.000000,pass
profiler__replayer_passes_type_warmup,0,pass
sass__inst_executed_per_opcode,6044187,
sass__inst_executed_per_opcode_category,6044187,
sass__inst_executed_per_opcode_with_modifier_all,6044187,
sass__inst_executed_per_opcode_with_modifier_selective,6044187,
sass__inst_executed_register_spilling,0,inst
sass__inst_executed_register_spilling_mem_local,no data,byte
sass__inst_executed_register_spilling_mem_shared,no data,byte
sass__inst_executed_register_spilling_op_read,0,inst
sass__inst_executed_register_spilling_op_write,0,inst
sass__thread_inst_executed_per_opcode_category,0,
sass__thread_inst_executed_true_per_opcode,0,
sass__thread_inst_executed_true_per_opcode_with_modifier_all,0,
sass__thread_inst_executed_true_per_opcode_with_modifier_selective,0,
sm__cycles_active.avg,122782.540541,cycle
sm__cycles_active.max,143769.000000,cycle
sm__cycles_active.min,0,cycle
sm__cycles_active.sum,18171816.000000,cycle
sm__inst_executed.avg.pct_of_peak_sustained_elapsed,4.482066,%
sm__inst_executed.avg.per_cycle_active,0.222335,inst/cycle
sm__inst_executed.avg.per_cycle_elapsed,0.179283,inst/cycle
sm__inst_executed.max.pct_of_peak_sustained_elapsed,7.580587,%
sm__inst_executed.max.per_cycle_active,0.376039,inst/cycle
sm__inst_executed.max.per_cycle_elapsed,0.303223,inst/cycle
sm__inst_executed.min.pct_of_peak_sustained_elapsed,0,%
sm__inst_executed.min.per_cycle_active,0,inst/cycle
sm__inst_executed.min.per_cycle_elapsed,0,inst/cycle
sm__inst_executed.sum.pct_of_peak_sustained_elapsed,4.482066,%
sm__inst_executed.sum.per_cycle_active,32.905599,inst/cycle
sm__inst_executed.sum.per_cycle_elapsed,26.533831,inst/cycle
sm__inst_executed_pipe_adu.avg.pct_of_peak_sustained_active,4.093724,%
sm__inst_executed_pipe_adu.avg.pct_of_peak_sustained_elapsed,3.301024,%
sm__inst_executed_pipe_adu.max.pct_of_peak_sustained_active,6.634494,%
sm__inst_executed_pipe_adu.max.pct_of_peak_sustained_elapsed,5.349805,%
sm__inst_executed_pipe_adu.min.pct_of_peak_sustained_active,0,%
sm__inst_executed_pipe_adu.min.pct_of_peak_sustained_elapsed,0,%
sm__inst_executed_pipe_adu.sum.pct_of_peak_sustained_active,4.093724,%
sm__inst_executed_pipe_adu.sum.pct_of_peak_sustained_elapsed,3.301024,%
sm__inst_executed_pipe_alu.avg.pct_of_peak_sustained_active,3.270823,%
sm__inst_executed_pipe_alu.avg.pct_of_peak_sustained_elapsed,2.637468,%
